time,open,high,low,close,EMA #1,EMA #2,EMA #3,EMA #4,EMA #5
2025-08-11T11:58:00-04:00,24253.25,24255.25,24251,24255.25,24248.718096098033,24244.158039688566,24239.21376780338,24234.773221929845,24231.807859314806
2025-08-11T12:00:00-04:00,24254.75,24260,24248,24258.75,24251.734048049017,24247.68869312571,24242.666263847073,24237.627047368438,24233.893508468005
2025-08-11T12:02:00-04:00,24258.5,24258.75,24251,24255.5,24255.11702402451,24251.292462083806,24246.184871881058,24240.608897744376,24236.13046224364
2025-08-11T12:04:00-04:00,24255.75,24260,24253,24256.5,24255.433512012256,24252.77830805587,24248.31045590749,24242.771912352324,24237.914056585127
2025-08-11T12:06:00-04:00,24256.25,24272,24254.5,24269.75,24255.841756006128,24253.935538703914,24250.074799039157,24244.697353444848,24239.580960531934
2025-08-11T12:08:00-04:00,24270.25,24290.5,24269.25,24290,24263.045878003064,24259.373692469275,24254.558177030456,24248.347731524154,24242.36905502903
2025-08-11T12:10:00-04:00,24290,24295.5,24281.75,24294,24276.52293900153,24269.582461646183,24262.434137690354,24254.29805559213,24246.69914093548
2025-08-11T12:12:00-04:00,24293.5,24294.75,24278,24283,24285.011469500765,24277.55497443079,24269.337662648053,24259.898333364683,24250.9537644868
2025-08-11T12:14:00-04:00,24282.75,24283.25,24272.5,24276.5,24283.880734750383,24279.286649620528,24272.318182059596,24263.16285716973,24253.844331351636
2025-08-11T12:16:00-04:00,24276.5,24285.5,24272.25,24282,24280.19036737519,24278.357766413686,24273.24747493524,24265.06816328834,24255.903937592397
2025-08-11T12:18:00-04:00,24281.75,24282,24265.5,24270,24280.970183687597,24279.488510942458,24275.13692494963,24267.451282818576,24258.25357962945
2025-08-11T12:20:00-04:00,24269.75,24274.5,24267.25,24270.25,24275.3600918438,24276.242340628305,24273.93983051638,24267.77967098735,24259.298708754046
2025-08-11T12:22:00-04:00,24270.25,24278,24268.25,24273.25,24272.8050459219,24274.244893752202,24273.11986817941,24268.132575132015,24260.294280685495
2025-08-11T12:24:00-04:00,24272.5,24278,24266,24268,24272.65252296095,24273.663262501468,24272.982119695094,24268.756492970297,24261.403891532267
2025-08-11T12:26:00-04:00,24267.5,24275.5,24266.25,24267.75,24270.076261480477,24271.608841667647,24271.76387087396,24268.57699397454,24261.958083211153
2025-08-11T12:28:00-04:00,24268.25,24276.75,24266,24276.5,24269.16313074024,24270.48922777843,24270.98301067975,24268.530280549607,24262.530075646504
2025-08-11T12:30:00-04:00,24276.25,24280.5,24274,24278.5,24272.70656537012,24272.40948518562,24272.153452750917,24269.633097613947,24263.77734149682
2025-08-11T12:32:00-04:00,24278.25,24280.25,24271,24271.75,24275.47828268506,24274.35632345708,24273.508241028492,24270.864083669097,24265.093037724382
2025-08-11T12:34:00-04:00,24272,24272.5,24264.5,24269.75,24273.73914134253,24273.57088230472,24273.173076355495,24271.026357430655,24265.7209433858
2025-08-11T12:36:00-04:00,24269.75,24270.5,24259.75,24261.25,24271.744570671264,24272.297254869813,24272.41239272094,24270.844020654848,24266.08722125982
2025-08-11T12:38:00-04:00,24261.5,24264.75,24255.25,24258.5,24266.62228533563,24268.69816991321,24269.987416560733,24269.509160561298,24265.67020114529
2025-08-11T12:40:00-04:00,24258.5,24259,24239,24247.5,24262.561142667815,24265.29877994214,24267.434657325015,24267.936423338255,24265.018364677537
2025-08-11T12:42:00-04:00,24247.25,24248,24236,24236.5,24254.905571333908,24259.282519961427,24262.949177919458,24264.981220004218,24263.40305879776
2025-08-11T12:44:00-04:00,24236.75,24240,24231,24236.5,24245.827785666952,24251.771679974285,24257.127138381802,24260.948188575043,24260.98005345251
2025-08-11T12:46:00-04:00,24236.25,24244.5,24232.25,24240,24241.038892833476,24246.597786649523,24252.48777429696,24257.419875921467,24258.731866775008
2025-08-11T12:48:00-04:00,24239.5,24240.75,24229.25,24234.25,24240.269446416736,24244.23185776635,24249.601602230967,24254.85989364697,24256.983515250005
2025-08-11T12:50:00-04:00,24234.25,24248.75,24233.75,24244.25,24237.259723208368,24240.904571844232,24246.19013506853,24251.915623125977,24254.91683204546
2025-08-11T12:52:00-04:00,24244,24246.25,24234,24234.25,24240.629861604182,24241.936381229487,24245.703438386634,24250.784819822267,24253.9243927686
2025-08-11T12:54:00-04:00,24234,24239.5,24231.25,24235.25,24237.31493080209,24239.290920819658,24243.102674300717,24248.386988419086,24252.11308433509
2025-08-11T12:56:00-04:00,24235.5,24237.75,24227.25,24233.75,24236.407465401047,24238.027280546437,24241.41319112278,24246.545990073504,24250.60280394099
2025-08-11T12:58:00-04:00,24233.75,24237.25,24224.25,24227.5,24235.078732700524,24236.601520364293,24239.710259762163,24244.717991491576,24249.070730855445
2025-08-11T13:00:00-04:00,24227.75,24233.75,24225,24228.75,24231.414366350262,24233.651013576196,24237.052424259462,24242.293992707066,24247.132482595858
2025-08-11T13:02:00-04:00,24229.5,24239.5,24228.75,24235,24230.45718317513,24232.26734238413,24235.374107757358,24240.4662794632,24245.529529632597
2025-08-11T13:04:00-04:00,24235,24238,24233.25,24237,24232.728591587565,24233.178228256085,24235.290972700168,24239.685382397027,24244.572299665997
2025-08-11T13:06:00-04:00,24237.25,24241.25,24234.5,24240.5,24234.989295793785,24234.535485504057,24235.72631210013,24239.337470626022,24243.906636059997
2025-08-11T13:08:00-04:00,24240.25,24244,24237.5,24240.25,24237.619647896892,24236.440323669372,24236.73157607788,24239.46783196516,24243.574214599998
2025-08-11T13:10:00-04:00,24240.25,24240.25,24232.5,24234.75,24238.934823948446,24237.71021577958,24237.513448060574,24239.579570255853,24243.272013272726
2025-08-11T13:12:00-04:00,24235,24236.75,24228.5,24232.5,24236.967411974223,24236.80681051972,24236.954904047114,24238.92534593359,24242.520012066114
2025-08-11T13:14:00-04:00,24232,24232.75,24217.5,24224.25,24234.483705987113,24235.20454034648,24235.853814258866,24237.93601080022,24241.56364733283
2025-08-11T13:16:00-04:00,24224.25,24229.5,24222.5,24228.75,24229.366852993557,24231.553026897654,24233.275188868007,24235.980866400187,24239.989679393482
2025-08-11T13:18:00-04:00,24229.5,24229.75,24221.5,24225.75,24229.433426496777,24230.868684598438,24232.43625800845,24235.055028343017,24239.03607217589
2025-08-11T13:20:00-04:00,24225.75,24230.75,24219.25,24225.25,24227.59171324839,24229.162456398957,24230.95042289546,24233.725738579727,24237.82824743263
2025-08-11T13:22:00-04:00,24225.25,24232.5,24224.75,24229.25,24226.420856624194,24227.85830426597,24229.683662252024,24232.514918782625,24236.684770393298
2025-08-11T13:24:00-04:00,24229.5,24229.5,24215.5,24219,24227.960428312097,24228.405536177313,24229.64284841824,24232.084216099393,24236.03160944845
2025-08-11T13:26:00-04:00,24218.5,24222.75,24215.75,24216,24223.23021415605,24225.103690784876,24227.16665988085,24230.14361379948,24234.43782677132
2025-08-11T13:28:00-04:00,24216,24220.75,24214.25,24219.5,24219.615107078025,24222.069127189916,24224.68517990733,24228.12309754241,24232.7616607012
2025-08-11T13:30:00-04:00,24219.25,24227.25,24217,24223.25,24219.432553539013,24221.12941812661,24223.477362150144,24226.85551217921,24231.53332791018
2025-08-11T13:32:00-04:00,24223.75,24227.75,24219.25,24219.25,24221.591276769504,24222.00294541774,24223.537948339002,24226.411867582177,24230.82575264562
2025-08-11T13:34:00-04:00,24219.5,24224,24214.75,24218,24220.545638384752,24221.16863027849,24222.640626485892,24225.42445792758,24229.796138768743
